Brain Regions and Development and P-Values,0.05,0.01,0.001,0.0001
Amygdala.Adolescence,0.989,1.0,1.0,1.0
Cerebellum.Adolescence,0.206,0.712,0.57,1.0
Cortex.Adolescence,0.903,1.0,1.0,1.0
Hippocampus.Adolescence,0.513,0.314,1.0,1.0
Striatum.Adolescence,0.002,0.978,1.0,1.0
Thalamus.Adolescence,0.518,0.68,1.0,1.0
Amygdala.Early.Childhood,0.742,1.0,1.0,1.0
Cerebellum.Early.Childhood,0.621,0.779,1.0,1.0
Cortex.Early.Childhood,0.922,1.0,1.0,1.0
Hippocampus.Early.Childhood,0.696,1.0,1.0,1.0
Striatum.Early.Childhood,0.284,0.714,1.0,1.0
Thalamus.Early.Childhood,0.417,1.0,1.0,1.0
Amygdala.Early.Fetal,0.801,0.66,1.0,1.0
Cerebellum.Early.Fetal,0.932,0.594,0.613,1.0
Cortex.Early.Fetal,0.01,0.357,1.0,1.0
Hippocampus.Early.Fetal,0.19,0.443,0.344,1.0
Striatum.Early.Fetal,0.63,0.238,0.832,1.0
Thalamus.Early.Fetal,0.81,0.089,1.0,1.0
Amygdala.Early.Mid.Fetal,0.281,1.0,1.0,1.0
Cerebellum.Early.Mid.Fetal,0.942,0.892,1.0,1.0
Cortex.Early.Mid.Fetal,0.016,0.018,0.165,1.0
Hippocampus.Early.Mid.Fetal,0.605,0.477,1.0,1.0
Striatum.Early.Mid.Fetal,0.539,0.496,1.0,1.0
Thalamus.Early.Mid.Fetal,0.559,0.622,1.0,1.0
Amygdala.Late.Fetal,0.989,1.0,1.0,1.0
Cerebellum.Late.Fetal,0.683,0.853,1.0,1.0
Cortex.Late.Fetal,0.275,1.0,1.0,1.0
Hippocampus.Late.Fetal,0.824,1.0,1.0,1.0
Striatum.Late.Fetal,0.27,0.625,1.0,1.0
Thalamus.Late.Fetal,0.657,0.567,1.0,1.0
Amygdala.Late.Infancy,0.802,0.353,1.0,1.0
Cerebellum.Late.Infancy,0.809,0.962,1.0,1.0
Cortex.Late.Infancy,0.582,1.0,1.0,1.0
Hippocampus.Late.Infancy,0.315,1.0,1.0,1.0
Striatum.Late.Infancy,0.009,0.427,1.0,1.0
Thalamus.Late.Infancy,0.88,0.673,1.0,1.0
Amygdala.Late.Mid.Fetal,0.368,0.647,1.0,1.0
Cerebellum.Late.Mid.Fetal,0.032,0.747,0.557,1.0
Cortex.Late.Mid.Fetal,0.033,0.714,1.0,1.0
Hippocampus.Late.Mid.Fetal,0.094,0.769,1.0,1.0
Striatum.Late.Mid.Fetal,0.344,0.86,1.0,1.0
Thalamus.Late.Mid.Fetal,0.369,0.257,0.844,0.522
Amygdala.Middle.Late.Childhood,1.0,1.0,1.0,1.0
Cerebellum.Middle.Late.Childhood,0.183,0.712,0.41,1.0
Cortex.Middle.Late.Childhood,0.996,1.0,1.0,1.0
Hippocampus.Middle.Late.Childhood,0.755,0.536,1.0,1.0
Striatum.Middle.Late.Childhood,0.888,0.911,1.0,1.0
Thalamus.Middle.Late.Childhood,0.979,0.916,1.0,1.0
Amygdala.Neotal.Early.Infancy,0.99,1.0,1.0,1.0
Cerebellum.Neotal.Early.Infancy,0.966,0.728,1.0,1.0
Cortex.Neotal.Early.Infancy,0.936,1.0,1.0,1.0
Hippocampus.Neotal.Early.Infancy,0.961,0.354,1.0,1.0
Striatum.Neotal.Early.Infancy,0.25,0.813,1.0,1.0
Thalamus.Neotal.Early.Infancy,0.319,0.792,1.0,1.0
Amygdala.Young.Adulthood,0.775,0.401,1.0,1.0
Cerebellum.Young.Adulthood,0.13,0.665,0.636,1.0
Cortex.Young.Adulthood,0.859,1.0,1.0,1.0
Hippocampus.Young.Adulthood,0.128,0.682,1.0,1.0
Striatum.Young.Adulthood,0.158,0.441,0.249,1.0
Thalamus.Young.Adulthood,0.013,0.128,1.0,1.0
